1	1	1
2	1	1
3	1	1
4	1	1
5	2	1
6	2	1
7	1	1
8	1	1
9	1	1
10	1	1
11	1	1
12	3	1
13	1	1
14	1	1
15	1	1
16	1	1
17	1	1
17	4	1
18	1	1
19	1	1
20	1	1
21	1	1
22	1	1
23	1	1
24	1	1
25	1	1
26	1	1
26	5	1
27	1	1
27	6	1
28	1	1
29	1	1
30	1	1
31	7	1
32	7	1
33	1	1
34	1	1
35	1	1
36	1	1
37	1	1
38	8	1
39	8	1
40	1	1
41	1	1
42	2	1
43	9	1
44	10	1
45	11	1
46	11	1
47	9	1
48	9	1
49	10	1
50	9	1
51	9	1
52	9	1
53	9	1
54	9	1
55	9	1
56	11	1
57	12	1
58	12	1
59	12	1
60	12	1
60	13	1
61	12	1
61	13	1
62	14	1
63	14	1
64	14	1
65	14	1
66	14	1
67	14	1
68	14	1
69	14	1
70	14	1
71	14	1
72	14	1
73	14	1
74	14	1
75	14	1
76	14	1
77	14	1
78	14	1
79	14	1
80	14	1
81	14	1
82	14	1
83	14	1
84	14	1
85	14	1
86	14	1
87	14	1
88	14	1
89	14	1
90	14	1
91	14	1
92	14	1
93	14	1
94	14	1
95	15	1
96	15	1
97	14	1
98	16	1
99	16	1
99	17	1
100	17	1
101	18	1
102	18	1
103	16	1
104	19	1
105	18	1
106	18	1
107	18	1
107	16	1
108	18	1
109	18	1
110	18	1
111	18	1
112	16	1
113	17	1
114	20	1
115	20	1
116	20	1
117	18	1
118	18	1
119	16	1
120	16	1
121	21	1
122	22	1
123	16	1
123	17	1
124	18	1
125	17	1
126	16	1
126	17	1
127	23	1
128	16	1
129	17	1
130	22	1
130	18	1
131	18	1
132	24	1
133	25	1
134	16	1
135	21	1
136	16	1
137	16	1
138	26	1
139	18	1
140	16	1
140	17	1
141	23	1
142	16	1
143	27	1
144	23	1
145	17	1
146	21	1
147	17	1
148	17	1
149	23	1
150	23	1
151	23	1
152	23	1
153	18	1
154	18	1
155	18	1
156	18	1
157	21	1
158	18	1
158	16	1
159	18	1
159	16	1
160	20	1
161	16	1
162	21	1
163	16	1
163	28	1
164	17	1
165	23	1
166	23	1
167	23	1
168	21	1
169	16	1
170	17	1
171	16	1
172	18	1
173	27	1
174	21	1
175	23	1
176	21	1
177	21	1
178	17	1
179	21	1
180	23	1
181	23	1
182	23	1
183	18	1
184	17	1
185	18	1
185	16	1
185	17	1
185	29	1
186	22	1
187	18	1
188	18	1
189	18	1
190	17	1
191	22	1
192	17	1
193	18	1
194	25	1
195	22	1
196	21	1
197	20	1
198	23	1
199	25	1
200	25	1
201	25	1
202	23	1
203	27	1
203	21	1
204	20	1
205	16	1
206	21	1
207	21	1
208	20	1
209	20	1
209	21	1
210	21	1
211	25	1
212	22	1
212	24	1
213	30	1
214	30	1
215	31	1
216	31	1
217	32	1
218	33	1
219	32	1
220	32	1
221	34	1
222	34	1
223	34	1
224	34	1
225	35	1
226	36	1
227	35	1
228	35	1
228	36	1
229	35	1
230	37	1
230	38	1
231	37	1
232	37	1
233	35	1
234	35	1
235	35	1
236	33	1
236	35	1
237	32	1
238	32	1
239	32	1
240	36	1
241	35	1
242	35	1
243	39	1
244	40	1
245	32	1
245	35	1
246	41	1
247	37	1
248	37	1
249	37	1
250	42	1
251	42	1
252	42	1
253	43	1
253	44	1
254	43	1
254	44	1
255	45	1
256	43	1
256	44	1
257	43	1
257	44	1
258	44	1
258	46	1
259	44	1
260	43	1
261	43	1
262	47	1
263	47	1
264	43	1
265	48	1
266	43	1
267	48	1
268	43	1
269	49	1
270	50	1
271	50	1
272	49	1
273	49	1
274	49	1
275	49	1
276	49	1
277	49	1
278	49	1
279	49	1
280	49	1
281	51	1
282	49	1
283	51	1
284	51	1
285	50	1
286	50	1
287	50	1
288	50	1
289	50	1
290	50	1
291	50	1
292	52	1
293	52	1
294	52	1
295	52	1
296	52	1
297	52	1
298	52	1
299	49	1
300	49	1
301	49	1
302	49	1
303	50	1
304	53	1
305	50	1
306	50	1
307	49	1
308	49	1
309	49	1
310	54	1
311	55	1
312	55	1
313	55	1
314	55	1
315	55	1
